epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,27746.5,1.59911,1.77796,0.95622,0.54494,0.19924,0.18692,0.13439,0.60914,1.63001,0.92712,0.002872,0.002872,0.002872
74,28129.4,1.73937,1.7496,0.94898,0.56248,0.2007,0.18677,0.1341,0.59742,1.62807,0.92654,0.002773,0.002773,0.002773
75,28510.4,1.80171,1.74406,0.94867,0.57023,0.1971,0.18754,0.13475,0.60856,1.62477,0.92721,0.002674,0.002674,0.002674
76,28890.8,1.67137,1.76941,0.95189,0.56331,0.20204,0.18863,0.13568,0.60756,1.6203,0.9263,0.002575,0.002575,0.002575
77,29271.6,1.67144,1.72583,0.9492,0.54177,0.21297,0.18764,0.13505,0.57474,1.61691,0.92404,0.002476,0.002476,0.002476
78,29651,1.55884,1.72007,0.94764,0.56596,0.19782,0.19083,0.13657,0.57065,1.6134,0.92399,0.002377,0.002377,0.002377
79,30032.3,1.72843,1.71744,0.95205,0.56865,0.1968,0.19206,0.13752,0.56807,1.6106,0.92453,0.002278,0.002278,0.002278
80,30411.9,1.50364,1.72404,0.94411,0.54512,0.20393,0.193,0.13877,0.56481,1.60817,0.92538,0.002179,0.002179,0.002179
81,30792.8,1.57104,1.70219,0.94309,0.54652,0.20353,0.19237,0.13857,0.55917,1.60593,0.92453,0.00208,0.00208,0.00208
82,31174,1.5672,1.71445,0.94692,0.5424,0.20786,0.19392,0.13927,0.55393,1.60281,0.924,0.001981,0.001981,0.001981
83,31557,1.68667,1.6899,0.94218,0.54321,0.20816,0.19554,0.14072,0.54892,1.60093,0.92294,0.001882,0.001882,0.001882
84,31937.5,1.52473,1.6959,0.93953,0.55172,0.20711,0.19588,0.141,0.54517,1.59809,0.92244,0.001783,0.001783,0.001783
85,32316.2,1.37819,1.68083,0.93692,0.54561,0.20711,0.19615,0.14145,0.54694,1.59616,0.92242,0.001684,0.001684,0.001684
86,32382.4,1.36800,1.67279,0.93691,0.54561,0.20711,0.19611,0.14154,0.54687,1.58884,0.92249,0.00160,0.00159,0.00170
87,32237.8,1.38350,1.68080,0.93695,0.54565,0.20701,0.19618,0.14148,0.54692,1.57730,0.92235,0.00166,0.00164,0.00171
88,32169.8,1.38710,1.69334,0.93700,0.54565,0.20715,0.19625,0.14143,0.54696,1.60083,0.92246,0.00168,0.00169,0.00177
89,32423.9,1.39331,1.66375,0.93688,0.54561,0.20708,0.19621,0.14141,0.54693,1.57743,0.92240,0.00163,0.00175,0.00166
90,32415.0,1.37853,1.66205,0.93701,0.54565,0.20716,0.19614,0.14138,0.54688,1.60122,0.92249,0.00175,0.00160,0.00175
91,32226.9,1.35976,1.66469,0.93697,0.54560,0.20713,0.19615,0.14143,0.54690,1.60089,0.92244,0.00165,0.00163,0.00172
92,32450.1,1.36279,1.67235,0.93685,0.54564,0.20709,0.19617,0.14148,0.54694,1.61614,0.92250,0.00176,0.00166,0.00166
93,32238.6,1.39660,1.69009,0.93701,0.54564,0.20705,0.19619,0.14150,0.54686,1.59693,0.92244,0.00178,0.00175,0.00174
94,32474.5,1.38181,1.67942,0.93689,0.54563,0.20716,0.19614,0.14144,0.54693,1.58583,0.92243,0.00172,0.00164,0.00162
95,32232.6,1.36696,1.69002,0.93691,0.54559,0.20703,0.19615,0.14148,0.54691,1.57678,0.92251,0.00176,0.00171,0.00172
96,32291.4,1.36431,1.68485,0.93682,0.54552,0.20706,0.19615,0.14140,0.54702,1.58255,0.92233,0.00171,0.00165,0.00167
97,32249.0,1.37189,1.66382,0.93682,0.54564,0.20716,0.19612,0.14141,0.54704,1.61155,0.92234,0.00168,0.00175,0.00171
98,32380.6,1.37253,1.66661,0.93685,0.54557,0.20705,0.19619,0.14149,0.54686,1.58178,0.92235,0.00174,0.00162,0.00176
99,32182.8,1.37907,1.69710,0.93694,0.54564,0.20711,0.19621,0.14142,0.54703,1.59692,0.92243,0.00166,0.00171,0.00177
100,32331.8,1.37265,1.66834,0.93697,0.54555,0.20709,0.19620,0.14140,0.54704,1.58650,0.92238,0.00161,0.00166,0.00174

